doc_a,doc_b,euclidean,jaccard,dice,js
61,17306,1.2951548831832815,0.2576374745417515,0.1478667445938048,0.4864460127950761
61,27814,0.915852444065317,0.2905894519131334,0.16999395039322443,0.44278272012354886
61,31933,1.292742818372711,0.2610887096774194,0.15014492753623188,0.5574718694140257
61,32966,0.8830875226697044,0.2725409836065574,0.15776986951364175,0.4289438191304485
61,33111,0.9112683368766007,0.26251276813074564,0.15108759553204,0.4386422776885374
61,39964,1.0178744193581155,0.27783452502553624,0.16132858837485173,0.4882741153033347
17306,27814,1.2838941448587422,0.11022044088176353,0.05832449628844114,0.47843251526993064
17306,31933,1.3768009910726153,0.03610832497492478,0.018386108273748723,0.5681619582306919
17306,32966,1.2516890369232614,0.0655241935483871,0.033871808233454925,0.4488001919516954
17306,33111,1.2642501108876534,0.05236656596173213,0.02688728024819028,0.441616001039843
17306,39964,1.2923925933062854,0.07135678391959799,0.03699843668577384,0.48722035172892414
27814,31933,1.2442067790421252,0.09428284854563691,0.049473684210526316,0.5016148283754511
27814,32966,0.8467628237821595,0.13527054108216433,0.07254164427727028,0.42773965389000107
27814,33111,0.780389998711459,0.12024048096192384,0.06396588486140725,0.4025094268858403
27814,39964,0.7919563514499236,0.1202020202020202,0.06394411606663085,0.3820369562653893
31933,32966,1.308492605407367,0.06506506506506507,0.03362648732540093,0.5663662240782509
31933,33111,1.2800239269562697,0.04809619238476954,0.024640657084188913,0.5323046031231483
31933,39964,1.1932916467301729,0.05728643216080402,0.029487842731505433,0.49841024105524534
32966,33111,0.6758481907315819,0.06976744186046512,0.03614457831325301,0.3534675182301974
32966,39964,0.9665424399209834,0.1041041041041041,0.054910242872228086,0.467214347875136
33111,39964,0.8651482279854817,0.07560483870967742,0.0392875851231011,0.41609438433354773
